Date,Gym,Day of Week,Calories,Fat (g),Carbohydrates (g),Sugar,Protein (g)
2021-05-12,No,Wednesday,2971.3,129.3,263.9,164.0,204.1
2021-05-19,No,Wednesday,2340.5,89.5,269.1,72.2,131.4
2021-05-20,No,Thursday,1300.0,44.0,108.0,24.0,76.0
2021-05-22,Yes,Saturday,3510.0,140.0,319.0,76.0,268.5
2021-05-23,No,Sunday,2427.0,91.3,223.5,45.0,185.5
2021-05-24,No,Monday,2321.0,114.0,156.0,22.5,180.2
2021-05-25,No,Tuesday,2173.0,91.39999999999999,184.5,20.0,148.9
2021-05-26,No,Wednesday,4150.6,153.5,410.1,201.9,291.3
2021-05-27,Yes,Thursday,2918.5,125.7,196.3,44.4,258.3
2021-05-28,No,Friday,1993.0,67.9,151.9,36.4,194.3
2021-05-29,No,Saturday,4130.4,156.3,330.0,95.0,376.70000000000005
2021-05-30,Yes,Sunday,2429.1,98.8,176.6,27.3,210.2
2021-05-31,Yes,Monday,2970.0,105.5,239.5,147.5,285.0
2021-06-01,Yes,Tuesday,915.0,24.5,60.5,19.5,116.5
2021-06-02,No,Wednesday,2710.0,125.0,198.0,22.0,210.0
2021-06-03,Yes,Thursday,2404.1,81.6,204.3,56.3,220.3
2021-06-04,No,Friday,2040.0,74.5,109.0,27.0,233.0
2021-06-05,Yes,Saturday,2405.8,65.5,233.8,69.5,219.60000000000002
2021-06-06,Yes,Sunday,3235.4,122.2,256.7,70.1,281.4
2021-06-07,Yes,Monday,2175.0,69.9,194.4,27.9,195.0
2021-06-08,No,Tuesday,3040.0,159.0,201.0,26.0,209.0
2021-06-09,Yes,Wednesday,2326.6,85.2,195.5,32.7,203.3
2021-06-10,Yes,Thursday,2285.3,79.7,206.1,50.4,197.3
2021-06-11,Yes,Friday,1910.5,62.3,149.3,36.5,201.2
2021-06-12,Yes,Saturday,2593.0,101.6,202.0,25.4,229.7
2021-06-13,Yes,Sunday,2043.3,64.5,174.4,17.1,189.6
2021-06-14,Yes,Monday,363.0,23.5,6.7,4.4,28.6
2021-06-15,No,Tuesday,2738.4,96.5,159.0,25.0,198.5
2021-06-16,Yes,Wednesday,2305.9,73.9,230.6,51.8,186.89999999999998
2021-06-17,Yes,Thursday,1445.1,58.9,111.8,24.7,110.8
2021-06-20,Yes,Sunday,1797.4,72.6,120.3,32.6,156.7
2021-06-23,Yes,Wednesday,2755.9,90.5,249.9,56.5,250.4
2021-06-24,Yes,Thursday,2205.0,71.0,209.0,15.0,194.0
2021-06-25,Yes,Friday,2973.0,137.5,222.0,39.0,218.5
2021-06-26,Yes,Saturday,2041.7,59.5,216.7,99.8,156.7
2021-06-27,Yes,Sunday,2549.2,123.1,127.4,77.5,244.4
2021-06-28,Yes,Monday,4193.8,139.3,452.4,212.1,302.9
2021-06-29,No,Tuesday,2337.0,92.2,174.7,5.5,199.6
2021-06-30,Yes,Wednesday,4175.0,161.5,335.5,72.1,365.1
2021-07-01,Yes,Thursday,3223.4,106.7,324.7,78.8,248.39999999999998
2021-07-02,Yes,Friday,2878.8,130.0,245.70000000000002,83.3,195.3
2021-07-04,Yes,Sunday,3825.0999999999995,163.6,353.3,118.8,245.6
2021-07-05,Yes,Monday,3035.8,107.2,319.1,77.5,197.1
2021-07-06,Yes,Tuesday,1915.0,59.5,214.0,63.0,136.5
2021-07-07,Yes,Wednesday,2851.4,114.8,255.2,108.2,208.6
2021-07-08,Yes,Thursday,3620.7,161.0,249.9,136.39999999999998,308.4
2021-07-09,Yes,Friday,2735.0,127.3,194.2,66.0,207.5
2021-07-18,Yes,Sunday,2191.1,72.1,235.0,73.0,143.0
2021-07-19,Yes,Monday,2429.0,57.1,231.2,146.3,228.8
2021-07-20,Yes,Tuesday,3951.0,147.5,365.2,115.0,298.5
2021-07-21,Yes,Wednesday,2777.2,118.9,221.9,59.7,210.6
2021-07-23,Yes,Friday,2415.0,78.5,209.0,49.0,213.5
2021-07-24,No,Saturday,2729.3,42.5,367.0,181.0,204.7
2021-07-25,Yes,Sunday,2290.8,78.2,198.6,46.0,195.9
2021-07-26,Yes,Monday,2632.2,80.4,205.4,68.5,253.9
2021-07-27,No,Tuesday,3746.4,80.1,381.0,77.0,296.4
2021-07-28,No,Wednesday,2875.0,90.0,318.0,105.0,205.0
2021-07-29,Yes,Thursday,1635.1,32.8,162.1,60.8,167.5
2021-07-30,Yes,Friday,3038.0,131.0,260.0,70.0,214.0
2021-07-31,Yes,Saturday,2420.0,88.5,220.0,55.0,192.0
2021-08-01,Yes,Sunday,2422.5,97.9,198.0,57.0,196.9
2021-08-02,Yes,Monday,2417.0,65.4,246.1,43.5,215.6
2021-08-03,Yes,Tuesday,2474.0,115.6,136.89999999999998,12.8,204.9
2021-08-05,Yes,Thursday,1540.0,69.0,112.0,73.8,96.8
2021-08-10,Yes,Tuesday,3030.0,82.0,380.0,259.0,196.0
2021-08-16,Yes,Monday,2409.8,80.0,217.2,11.0,205.7
2021-08-17,No,Tuesday,2813.9,129.9,212.5,53.6,202.4
2021-08-18,Yes,Wednesday,2556.7,87.8,240.0,91.0,205.0
2021-08-19,Yes,Thursday,2485.0,86.0,252.5,96.0,165.0
